data_file,records,file_size,file_size_str,block_size,num_reducers,num_mappers,execution_time,execution_time_str,success,result,bytes_read,bytes_written,throughput_records_per_sec,throughput_mb_per_sec
knn_6_1000.csv,1000,119432,116.63KB,64MB,2,0,0.3,0.30s,False,,0,0,3287.06,0.3744
knn_6_1000.csv,1000,119432,116.63KB,64MB,4,0,0.35,0.35s,False,,0,0,2820.64,0.3213
knn_6_1000.csv,1000,119432,116.63KB,64MB,8,0,0.34,0.34s,False,,0,0,2967.81,0.338
knn_6_1000.csv,1000,119432,116.63KB,128MB,2,0,0.3,0.30s,False,,0,0,3279.38,0.3735
knn_6_1000.csv,1000,119432,116.63KB,128MB,4,0,0.3,0.30s,False,,0,0,3313.79,0.3774
knn_6_1000.csv,1000,119432,116.63KB,128MB,8,0,0.3,0.30s,False,,0,0,3378.01,0.3848
knn_6_1000.csv,1000,119432,116.63KB,256MB,2,0,0.3,0.30s,False,,0,0,3302.16,0.3761
knn_6_1000.csv,1000,119432,116.63KB,256MB,4,0,0.31,0.31s,False,,0,0,3266.25,0.372
knn_6_1000.csv,1000,119432,116.63KB,256MB,8,0,0.29,0.29s,False,,0,0,3394.45,0.3866
knn_6_10000.csv,10000,1193107,1.14MB,64MB,2,0,0.33,0.33s,False,,0,0,30631.61,3.4854
knn_6_10000.csv,10000,1193107,1.14MB,64MB,4,0,0.3,0.30s,False,,0,0,33447.45,3.8058
knn_6_10000.csv,10000,1193107,1.14MB,64MB,8,0,0.34,0.34s,False,,0,0,29073.18,3.3081
knn_6_10000.csv,10000,1193107,1.14MB,128MB,2,0,0.32,0.32s,False,,0,0,31525.93,3.5871
knn_6_10000.csv,10000,1193107,1.14MB,128MB,4,0,0.34,0.34s,False,,0,0,29175.7,3.3197
knn_6_10000.csv,10000,1193107,1.14MB,128MB,8,0,0.29,0.29s,False,,0,0,34110.43,3.8812
knn_6_10000.csv,10000,1193107,1.14MB,256MB,2,0,0.29,0.29s,False,,0,0,34147.92,3.8855
knn_6_10000.csv,10000,1193107,1.14MB,256MB,4,0,0.31,0.31s,False,,0,0,32168.29,3.6602
knn_6_10000.csv,10000,1193107,1.14MB,256MB,8,0,0.29,0.29s,False,,0,0,34330.75,3.9063
knn_6_50000.csv,50000,1193107,1.14MB,64MB,2,0,0.3,0.30s,False,,0,0,166126.31,3.7805
knn_6_50000.csv,50000,1193107,1.14MB,64MB,4,0,0.3,0.30s,False,,0,0,166541.35,3.7899
knn_6_50000.csv,50000,1193107,1.14MB,64MB,8,0,0.3,0.30s,False,,0,0,165797.84,3.773
knn_6_50000.csv,50000,1193107,1.14MB,128MB,2,0,0.32,0.32s,False,,0,0,156855.75,3.5695
knn_6_50000.csv,50000,1193107,1.14MB,128MB,4,0,0.28,0.28s,False,,0,0,176565.85,4.0181
knn_6_50000.csv,50000,1193107,1.14MB,128MB,8,0,0.33,0.33s,False,,0,0,153177.64,3.4858
knn_6_50000.csv,50000,1193107,1.14MB,256MB,2,0,0.32,0.32s,False,,0,0,155313.53,3.5344
knn_6_50000.csv,50000,1193107,1.14MB,256MB,4,0,0.33,0.33s,False,,0,0,149546.61,3.4032
knn_6_50000.csv,50000,1193107,1.14MB,256MB,8,0,0.34,0.34s,False,,0,0,147541.82,3.3576
knn_6_100000.csv,100000,11915930,11.36MB,64MB,2,0,0.3,0.30s,False,,0,0,329615.46,37.4572
knn_6_100000.csv,100000,11915930,11.36MB,64MB,4,0,0.3,0.30s,False,,0,0,328619.9,37.3441
knn_6_100000.csv,100000,11915930,11.36MB,64MB,8,0,0.31,0.31s,False,,0,0,324556.9,36.8824
knn_6_100000.csv,100000,11915930,11.36MB,128MB,2,0,0.32,0.32s,False,,0,0,308440.99,35.051
knn_6_100000.csv,100000,11915930,11.36MB,128MB,4,0,0.3,0.30s,False,,0,0,333095.93,37.8527
knn_6_100000.csv,100000,11915930,11.36MB,128MB,8,0,0.31,0.31s,False,,0,0,317755.6,36.1095
knn_6_100000.csv,100000,11915930,11.36MB,256MB,2,0,0.31,0.31s,False,,0,0,317555.68,36.0868
knn_6_100000.csv,100000,11915930,11.36MB,256MB,4,0,0.31,0.31s,False,,0,0,323047.05,36.7108
knn_6_100000.csv,100000,11915930,11.36MB,256MB,8,0,0.31,0.31s,False,,0,0,322945.57,36.6993
