test_id,data_file,data_size,block_size,block_size_bytes,num_mappers,num_reducers,success,execution_time_sec,map_time_ms,reduce_time_ms,error
1,knn_6_1000.csv,1000,64MB,67108864,2,2,True,21.79,0,0,
2,knn_6_1000.csv,1000,64MB,67108864,2,4,True,28.28,0,0,
3,knn_6_1000.csv,1000,64MB,67108864,2,8,True,41.71,0,0,
4,knn_6_1000.csv,1000,64MB,67108864,4,2,True,21.63,0,0,
5,knn_6_1000.csv,1000,64MB,67108864,4,4,True,28.83,0,0,
6,knn_6_1000.csv,1000,64MB,67108864,4,8,True,38.95,0,0,
7,knn_6_1000.csv,1000,64MB,67108864,8,2,True,21.78,0,0,
8,knn_6_1000.csv,1000,64MB,67108864,8,4,True,28.79,0,0,
9,knn_6_1000.csv,1000,64MB,67108864,8,8,True,42.76,0,0,
10,knn_6_1000.csv,1000,128MB,134217728,2,2,True,21.6,0,0,
11,knn_6_1000.csv,1000,128MB,134217728,2,4,True,31.59,0,0,
12,knn_6_1000.csv,1000,128MB,134217728,2,8,True,40.66,0,0,
13,knn_6_1000.csv,1000,128MB,134217728,4,2,True,22.6,0,0,
14,knn_6_1000.csv,1000,128MB,134217728,4,4,True,28.63,0,0,
15,knn_6_1000.csv,1000,128MB,134217728,4,8,True,40.84,0,0,
16,knn_6_1000.csv,1000,128MB,134217728,8,2,True,22.64,0,0,
17,knn_6_1000.csv,1000,128MB,134217728,8,4,True,28.59,0,0,
18,knn_6_1000.csv,1000,128MB,134217728,8,8,True,40.72,0,0,
19,knn_6_1000.csv,1000,256MB,268435456,2,2,True,22.14,0,0,
20,knn_6_1000.csv,1000,256MB,268435456,2,4,True,27.58,0,0,
21,knn_6_1000.csv,1000,256MB,268435456,2,8,True,41.68,0,0,
22,knn_6_1000.csv,1000,256MB,268435456,4,2,True,21.69,0,0,
23,knn_6_1000.csv,1000,256MB,268435456,4,4,True,27.78,0,0,
24,knn_6_1000.csv,1000,256MB,268435456,4,8,True,41.74,0,0,
25,knn_6_1000.csv,1000,256MB,268435456,8,2,True,21.64,0,0,
26,knn_6_1000.csv,1000,256MB,268435456,8,4,True,27.59,0,0,
27,knn_6_1000.csv,1000,256MB,268435456,8,8,True,42.75,0,0,
28,knn_6_10000.csv,10000,64MB,67108864,2,2,True,23.54,0,0,
29,knn_6_10000.csv,10000,64MB,67108864,2,4,True,28.65,0,0,
30,knn_6_10000.csv,10000,64MB,67108864,2,8,True,40.85,0,0,
31,knn_6_10000.csv,10000,64MB,67108864,4,2,True,21.66,0,0,
32,knn_6_10000.csv,10000,64MB,67108864,4,4,True,27.62,0,0,
33,knn_6_10000.csv,10000,64MB,67108864,4,8,True,40.77,0,0,
34,knn_6_10000.csv,10000,64MB,67108864,8,2,True,20.62,0,0,
35,knn_6_10000.csv,10000,64MB,67108864,8,4,True,27.7,0,0,
36,knn_6_10000.csv,10000,64MB,67108864,8,8,True,41.65,0,0,
37,knn_6_10000.csv,10000,128MB,134217728,2,2,True,21.57,0,0,
38,knn_6_10000.csv,10000,128MB,134217728,2,4,True,28.61,0,0,
39,knn_6_10000.csv,10000,128MB,134217728,2,8,True,40.71,0,0,
40,knn_6_10000.csv,10000,128MB,134217728,4,2,True,21.98,0,0,
41,knn_6_10000.csv,10000,128MB,134217728,4,4,True,27.73,0,0,
42,knn_6_10000.csv,10000,128MB,134217728,4,8,True,40.76,0,0,
43,knn_6_10000.csv,10000,128MB,134217728,8,2,True,21.51,0,0,
44,knn_6_10000.csv,10000,128MB,134217728,8,4,True,28.74,0,0,
45,knn_6_10000.csv,10000,128MB,134217728,8,8,True,39.71,0,0,
